ID	Sub1	Sub2	Sub3	Mark1	Mark2	Mark3	Total
1001	Math	Science	English	70	45	60	175
1002	Math	Science	English	71	46	61	178
1003	Math	Science	English	72	47	62	181
1004	Math	Science	English	73	48	63	184
1005	Math	Science	English	74	49	64	187
1006	Math	Science	English	75	50	65	190
1007	Math	Science	English	76	51	66	193
1008	Math	Science	English	77	52	67	196
1009	Math	Science	English	78	53	68	199
1010	Math	Science	English	79	54	69	202
1011	Math	Science	English	80	55	70	205
1012	Math	Science	English	81	56	71	208
1013	Math	Science	English	82	57	72	211
1014	Math	Science	English	83	58	73	214
1015	Math	Science	English	84	59	74	217
1016	Math	Science	English	85	60	75	220
1017	Math	Science	English	86	61	76	223
1018	Math	Science	English	87	62	77	226
1019	Math	Science	English	88	63	78	229
1020	Math	Science	English	89	64	79	232
1021	Math	Science	English	90	65	80	235
1022	Math	Science	English	91	66	81	238
1023	Math	Science	English	92	67	82	241
1024	Math	Science	English	93	68	83	244
1025	Math	Science	English	45	70	80	195
1026	Math	Science	English	46	71	81	198
1027	Math	Science	English	47	72	82	201
1028	Math	Science	English	48	73	83	204
1029	Math	Science	English	49	74	84	207
1030	Math	Science	English	50	75	85	210
1031	Math	Science	English	51	76	86	213
1032	Math	Science	English	52	77	87	216
1033	Math	Science	English	53	78	88	219
1034	Math	Science	English	54	79	89	222
1035	Math	Science	English	55	80	90	225
1036	Math	Science	English	56	81	91	228
1037	Math	Science	English	57	82	92	231
1038	Math	Science	English	58	83	93	234
1039	Math	Science	English	59	84	94	237
1040	Math	Science	English	60	85	95	240
1041	Math	Science	English	61	86	96	243
1042	Math	Science	English	62	87	97	246
1043	Math	Science	English	63	88	98	249
1044	Math	Science	English	64	89	99	252
1045	Math	Science	English	65	90	10	165
1046	Math	Science	English	66	91	11	168
1047	Math	Science	English	67	92	12	171
1048	Math	Science	English	68	93	13	174
1049	Math	Science	English	69	94	14	177
1050	Math	Science	English	70	95	15	180
1051	Math	Science	English	70	45	60	175
1052	Math	Science	English	71	46	61	178
1053	Math	Science	English	72	47	62	181
1054	Math	Science	English	73	48	63	184
1055	Math	Science	English	74	49	64	187
1056	Math	Science	English	75	50	65	190
1057	Math	Science	English	76	51	66	193
1058	Math	Science	English	77	52	67	196
1059	Math	Science	English	78	53	68	199
1060	Math	Science	English	79	54	69	202
1061	Math	Science	English	80	55	70	205
1062	Math	Science	English	81	56	71	208
1063	Math	Science	English	82	57	72	211
1064	Math	Science	English	83	58	73	214
1065	Math	Science	English	84	59	74	217
1066	Math	Science	English	85	60	75	220
1067	Math	Science	English	86	61	76	223
1068	Math	Science	English	87	62	77	226
1069	Math	Science	English	88	63	78	229
1070	Math	Science	English	89	64	79	232
1071	Math	Science	English	90	65	80	235
1072	Math	Science	English	91	66	81	238
1073	Math	Science	English	92	67	82	241
1074	Math	Science	English	93	68	83	244
1075	Math	Science	English	45	70	80	195
1076	Math	Science	English	46	71	81	198
1077	Math	Science	English	47	72	82	201
1078	Math	Science	English	48	73	83	204
1079	Math	Science	English	49	74	84	207
1080	Math	Science	English	50	75	85	210
1081	Math	Science	English	51	76	86	213
1082	Math	Science	English	52	77	87	216
1083	Math	Science	English	53	78	88	219
1084	Math	Science	English	54	79	89	222
1085	Math	Science	English	55	80	90	225
1086	Math	Science	English	56	81	91	228
1087	Math	Science	English	57	82	92	231
1088	Math	Science	English	58	83	93	234
1089	Math	Science	English	59	84	94	237
1090	Math	Science	English	60	85	95	240
1091	Math	Science	English	61	86	96	243
1092	Math	Science	English	62	87	97	246
1093	Math	Science	English	63	88	98	249
1094	Math	Science	English	64	89	99	252
1095	Math	Science	English	65	90	10	165
1096	Math	Science	English	66	91	11	168
1097	Math	Science	English	67	92	12	171
1098	Math	Science	English	68	93	13	174
1099	Math	Science	English	69	94	14	177
1100	Math	Science	English	70	95	15	180
1101	Math	Science	English	70	45	60	175
1102	Math	Science	English	71	46	61	178
1103	Math	Science	English	72	47	62	181
1104	Math	Science	English	73	48	63	184
1105	Math	Science	English	74	49	64	187
1106	Math	Science	English	75	50	65	190
1107	Math	Science	English	76	51	66	193
1108	Math	Science	English	77	52	67	196
1109	Math	Science	English	78	53	68	199
1110	Math	Science	English	79	54	69	202
1111	Math	Science	English	80	55	70	205
1112	Math	Science	English	81	56	71	208
1113	Math	Science	English	82	57	72	211
1114	Math	Science	English	83	58	73	214
1115	Math	Science	English	84	59	74	217
1116	Math	Science	English	85	60	75	220
1117	Math	Science	English	86	61	76	223
1118	Math	Science	English	87	62	77	226
1119	Math	Science	English	88	63	78	229
1120	Math	Science	English	89	64	79	232
1121	Math	Science	English	90	65	80	235
1122	Math	Science	English	91	66	81	238
1123	Math	Science	English	92	67	82	241
1124	Math	Science	English	93	68	83	244
1125	Math	Science	English	45	70	80	195
1126	Math	Science	English	46	71	81	198
1127	Math	Science	English	47	72	82	201
1128	Math	Science	English	48	73	83	204
1129	Math	Science	English	49	74	84	207
1130	Math	Science	English	50	75	85	210
1131	Math	Science	English	51	76	86	213
1132	Math	Science	English	52	77	87	216
1133	Math	Science	English	53	78	88	219
1134	Math	Science	English	54	79	89	222
1135	Math	Science	English	55	80	90	225
1136	Math	Science	English	56	81	91	228
1137	Math	Science	English	57	82	92	231
1138	Math	Science	English	58	83	93	234
1139	Math	Science	English	59	84	94	237
1140	Math	Science	English	60	85	95	240
1141	Math	Science	English	61	86	96	243
1142	Math	Science	English	62	87	97	246
1143	Math	Science	English	63	88	98	249
1144	Math	Science	English	64	89	99	252
1145	Math	Science	English	65	90	10	165
1146	Math	Science	English	66	91	11	168
1147	Math	Science	English	67	92	12	171
1148	Math	Science	English	68	93	13	174
1149	Math	Science	English	69	94	14	177
1150	Math	Science	English	70	95	15	180
1151	Math	Science	English	70	45	60	175
1152	Math	Science	English	71	46	61	178
1153	Math	Science	English	72	47	62	181
1154	Math	Science	English	73	48	63	184
1155	Math	Science	English	74	49	64	187
1156	Math	Science	English	75	50	65	190
1157	Math	Science	English	76	51	66	193
1158	Math	Science	English	77	52	67	196
1159	Math	Science	English	78	53	68	199
1160	Math	Science	English	79	54	69	202
1161	Math	Science	English	80	55	70	205
1162	Math	Science	English	81	56	71	208
1163	Math	Science	English	82	57	72	211
1164	Math	Science	English	83	58	73	214
1165	Math	Science	English	84	59	74	217
1166	Math	Science	English	85	60	75	220
1167	Math	Science	English	86	61	76	223
1168	Math	Science	English	87	62	77	226
1169	Math	Science	English	88	63	78	229
1170	Math	Science	English	89	64	79	232
1171	Math	Science	English	90	65	80	235
1172	Math	Science	English	91	66	81	238
1173	Math	Science	English	92	67	82	241
1174	Math	Science	English	93	68	83	244
1175	Math	Science	English	45	70	80	195
1176	Math	Science	English	46	71	81	198
1177	Math	Science	English	47	72	82	201
1178	Math	Science	English	48	73	83	204
1179	Math	Science	English	49	74	84	207
1180	Math	Science	English	50	75	85	210
1181	Math	Science	English	51	76	86	213
1182	Math	Science	English	52	77	87	216
1183	Math	Science	English	53	78	88	219
1184	Math	Science	English	54	79	89	222
1185	Math	Science	English	55	80	90	225
1186	Math	Science	English	56	81	91	228
1187	Math	Science	English	57	82	92	231
1188	Math	Science	English	58	83	93	234
1189	Math	Science	English	59	84	94	237
1190	Math	Science	English	60	85	95	240
1191	Math	Science	English	61	86	96	243
1192	Math	Science	English	62	87	97	246
1193	Math	Science	English	63	88	98	249
1194	Math	Science	English	64	89	99	252
1195	Math	Science	English	65	90	10	165
1196	Math	Science	English	66	91	11	168
1197	Math	Science	English	67	92	12	171
1198	Math	Science	English	68	93	13	174
1199	Math	Science	English	69	94	14	177
1200	Math	Science	English	70	95	15	180
1201	Math	Science	English	70	45	60	175
1202	Math	Science	English	71	46	61	178
1203	Math	Science	English	72	47	62	181
1204	Math	Science	English	73	48	63	184
1205	Math	Science	English	74	49	64	187
1206	Math	Science	English	75	50	65	190
1207	Math	Science	English	76	51	66	193
1208	Math	Science	English	77	52	67	196
1209	Math	Science	English	78	53	68	199
1210	Math	Science	English	79	54	69	202
1211	Math	Science	English	80	55	70	205
1212	Math	Science	English	81	56	71	208
1213	Math	Science	English	82	57	72	211
1214	Math	Science	English	83	58	73	214
1215	Math	Science	English	84	59	74	217
1216	Math	Science	English	85	60	75	220
1217	Math	Science	English	86	61	76	223
1218	Math	Science	English	87	62	77	226
1219	Math	Science	English	88	63	78	229
1220	Math	Science	English	89	64	79	232
1221	Math	Science	English	90	65	80	235
1222	Math	Science	English	91	66	81	238
1223	Math	Science	English	92	67	82	241
1224	Math	Science	English	93	68	83	244
1225	Math	Science	English	45	70	80	195
1226	Math	Science	English	46	71	81	198
1227	Math	Science	English	47	72	82	201
1228	Math	Science	English	48	73	83	204
1229	Math	Science	English	49	74	84	207
1230	Math	Science	English	50	75	85	210
1231	Math	Science	English	51	76	86	213
1232	Math	Science	English	52	77	87	216
1233	Math	Science	English	53	78	88	219
1234	Math	Science	English	54	79	89	222
1235	Math	Science	English	55	80	90	225
1236	Math	Science	English	56	81	91	228
1237	Math	Science	English	57	82	92	231
1238	Math	Science	English	58	83	93	234
1239	Math	Science	English	59	84	94	237
1240	Math	Science	English	60	85	95	240
1241	Math	Science	English	61	86	96	243
1242	Math	Science	English	62	87	97	246
1243	Math	Science	English	63	88	98	249
1244	Math	Science	English	64	89	99	252
1245	Math	Science	English	65	90	10	165
1246	Math	Science	English	66	91	11	168
1247	Math	Science	English	67	92	12	171
1248	Math	Science	English	68	93	13	174
1249	Math	Science	English	69	94	14	177
1250	Math	Science	English	70	95	15	180
1251	Math	Science	English	70	45	60	175
1252	Math	Science	English	71	46	61	178
1253	Math	Science	English	72	47	62	181
1254	Math	Science	English	73	48	63	184
1255	Math	Science	English	74	49	64	187
1256	Math	Science	English	75	50	65	190
1257	Math	Science	English	76	51	66	193
1258	Math	Science	English	77	52	67	196
1259	Math	Science	English	78	53	68	199
1260	Math	Science	English	79	54	69	202
1261	Math	Science	English	80	55	70	205
1262	Math	Science	English	81	56	71	208
1263	Math	Science	English	82	57	72	211
